pais,Female,Male,brecha_genero
Guatemala,5.430749893188477,16.95343017578125,11.52
Uruguay,10.39879035949707,22.50485038757324,12.11
Peru,24.4417896270752,36.82033920288086,12.38
Argentina,10.58689975738525,23.70428085327148,13.12
Panama,8.172869682312012,22.59309005737305,14.42
Costa Rica,9.38601016998291,25.23995018005371,15.85
Honduras,9.4058198928833,26.1338005065918,16.73
Brazil,8.565600395202637,28.07748031616211,19.51
Colombia,15.08117008209229,35.43453979492188,20.35
Ecuador,10.4116096496582,31.42711067199707,21.02
Mexico,14.25955009460449,35.86574935913086,21.61
Chile,7.80348014831543,39.65391159057617,31.85
